# magnitude, 55Msun, 60Msun, 65Msun, 70Msun, 75Msun, 80Msun, 85Msun, 90Msun, 95Msun, Msun, 105Msun, 110Msun, 115Msun, 120Msun
7.750 265.0 176.6 129.2 127.4 70.47 50.04 37.16 28.39 23.71 19.88 16.89 14.11 11.89 10.03 
8.000 300.6 199.7 144.5 139.0 78.80 56.12 41.76 31.75 26.42 22.09 18.55 15.42 12.92 10.82 
8.250 344.3 225.9 163.4 151.5 88.12 62.39 46.70 35.37 29.22 24.32 20.33 16.81 13.98 11.65 
8.500 394.4 257.0 184.8 166.0 98.52 69.25 51.88 39.28 32.15 26.73 22.25 18.32 15.13 12.49 
8.750 445.3 292.4 209.1 183.8 110.2 77.58 57.46 43.42 35.48 29.24 24.42 19.98 16.40 13.40 
9.000 503.2 331.7 237.3 203.9 124.5 86.85 64.37 47.93 39.24 32.29 27.08 22.12 17.97 14.39 
9.250 544.6 371.8 270.4 226.0 140.7 98.15 72.08 53.82 43.82 35.79 30.06 24.50 19.83 15.52 
9.500 589.1 411.5 299.3 251.5 158.9 111.6 81.43 60.45 49.23 40.28 33.79 27.48 22.10 16.94 
9.750 639.5 447.2 324.1 280.9 179.8 126.4 92.64 68.51 55.48 45.31 38.00 30.82 24.76 18.60 
10.00 692.0 483.0 352.4 300.0 204.0 142.0 104.8 78.04 63.14 51.51 43.40 35.12 28.00 20.73 
10.25 735.4 518.2 384.6 321.2 219.4 160.1 117.9 88.29 71.90 58.72 49.47 39.93 31.79 23.19 
10.50 780.8 551.1 421.2 345.1 235.6 175.6 132.8 99.09 81.57 66.84 55.41 44.75 35.72 26.15 
10.75 829.0 585.4 450.9 372.0 253.7 187.9 146.8 111.3 91.87 75.19 61.93 49.91 39.78 29.41 
11.00 879.9 622.0 479.5 401.6 273.8 201.8 159.9 121.2 100.8 83.10 69.01 55.57 44.16 32.78 
11.25 933.9 660.7 509.7 425.1 296.4 217.1 170.8 129.6 107.8 90.50 74.09 60.00 48.46 36.18 
11.50 990.9 701.8 541.8 450.3 315.3 234.1 182.0 138.9 115.4 98.00 79.36 64.32 52.40 39.53 
11.75 1052. 745.3 575.7 477.0 334.7 250.7 193.9 149.1 123.4 105.2 85.05 68.93 56.15 42.72 
12.00 1116. 791.4 611.6 505.3 355.3 266.7 206.4 160.1 131.8 112.1 91.15 73.87 59.83 45.85 
12.25 1184. 840.1 649.7 535.3 377.0 283.8 219.7 171.4 140.8 119.4 97.63 79.12 63.75 48.99 
12.50 1256. 891.9 690.1 567.0 400.1 301.7 233.8 182.8 150.3 127.1 104.0 84.35 67.84 52.34 
12.75 1332. 946.6 732.8 600.6 424.5 320.8 248.7 194.9 160.3 135.3 110.4 89.53 72.07 56.17 
13.00 1413. 1005. 778.0 636.2 450.4 341.0 264.5 207.7 171.0 144.0 117.2 95.02 76.59 60.23 
13.25 1498. 1066. 825.9 673.9 477.9 362.4 281.2 221.3 182.3 153.2 124.4 100.8 81.40 64.54 
13.50 1589. 1132. 876.7 713.9 506.9 385.1 298.9 235.7 194.2 162.9 132.0 107.0 86.50 69.10 
13.75 1685. 1200. 930.5 756.2 537.7 409.0 317.7 250.9 206.9 173.2 140.1 113.5 91.91 73.93 
14.00 1787. 1274. 987.1 801.0 570.2 434.5 337.5 267.0 220.3 184.2 148.6 120.4 97.62 79.05 
14.25 1894. 1351. 1048. 848.6 604.8 461.4 358.6 284.1 234.5 195.7 157.7 127.7 103.7 84.47 
14.50 2008. 1433. 1112. 898.9 641.3 489.9 380.9 302.2 249.5 208.0 167.3 135.5 110.1 90.18 
14.75 2129. 1520. 1179. 952.1 680.1 520.1 404.5 321.3 265.4 221.0 177.4 143.7 116.9 96.28 
15.00 2257. 1611. 1251. 1009. 721.1 552.1 429.5 341.6 282.3 234.7 188.2 152.4 124.1 102.8
